Broker ID,Broker Name,Account Type,Rebate Per Lot (USD),Min Deposit (USD),Trading Instruments,Max Rebate Period (Days),Payment Frequency,Special Conditions,Notes
25,AvaTrade,Standard,,,,,,,
25,AvaTrade,ECN,,,,,,,
25,AvaTrade,VIP,,,,,,,
11,Axi,Standard,,,,,,,
11,Axi,ECN,,,,,,,
11,Axi,VIP,,,,,,,
31,BlackBull Markets,Standard,,,,,,,
31,BlackBull Markets,ECN,,,,,,,
31,BlackBull Markets,VIP,,,,,,,
36,Blueberry Markets,Standard,,,,,,,
36,Blueberry Markets,ECN,,,,,,,
36,Blueberry Markets,VIP,,,,,,,
5,CMC Markets,Standard,,,,,,,
5,CMC Markets,ECN,,,,,,,
5,CMC Markets,VIP,,,,,,,
38,DBG Markets,Standard,,,,,,,
38,DBG Markets,ECN,,,,,,,
38,DBG Markets,VIP,,,,,,,
6,Doo Prime,Standard,,,,,,,
6,Doo Prime,ECN,,,,,,,
6,Doo Prime,VIP,,,,,,,
35,EBC,Standard,,,,,,,
35,EBC,ECN,,,,,,,
35,EBC,VIP,,,,,,,
9,Eightcap,Standard,,,,,,,
9,Eightcap,ECN,,,,,,,
9,Eightcap,VIP,,,,,,,
2,Exness,Standard,,,,,,,
2,Exness,ECN,,,,,,,
2,Exness,VIP,,,,,,,
33,FOREX.com AU,Standard,,,,,,,
33,FOREX.com AU,ECN,,,,,,,
33,FOREX.com AU,VIP,,,,,,,
10,FP Markets,Standard,,,,,,,
10,FP Markets,ECN,,,,,,,
10,FP Markets,VIP,,,,,,,
14,FXTM,Standard,,,,,,,
14,FXTM,ECN,,,,,,,
14,FXTM,VIP,,,,,,,
15,FxPro,Standard,,,,,,,
15,FxPro,ECN,,,,,,,
15,FxPro,VIP,,,,,,,
13,HFM,Standard,,,,,,,
13,HFM,ECN,,,,,,,
13,HFM,VIP,,,,,,,
4,IC Markets,Standard,,,,,,,
4,IC Markets,ECN,,,,,,,
4,IC Markets,VIP,,,,,,,
17,IG Australia Pty Ltd,Standard,,,,,,,
17,IG Australia Pty Ltd,ECN,,,,,,,
17,IG Australia Pty Ltd,VIP,,,,,,,
18,IG Markets Limited,Standard,,,,,,,
18,IG Markets Limited,ECN,,,,,,,
18,IG Markets Limited,VIP,,,,,,,
16,OANDA,Standard,,,,,,,
16,OANDA,ECN,,,,,,,
16,OANDA,VIP,,,,,,,
8,Pepperstone,Standard,,,,,,,
8,Pepperstone,ECN,,,,,,,
8,Pepperstone,VIP,,,,,,,
19,Plus500AU Pty Ltd,Standard,,,,,,,
19,Plus500AU Pty Ltd,ECN,,,,,,,
19,Plus500AU Pty Ltd,VIP,,,,,,,
23,Plus500CY Ltd,Standard,,,,,,,
23,Plus500CY Ltd,ECN,,,,,,,
23,Plus500CY Ltd,VIP,,,,,,,
21,Plus500SEY Ltd,Standard,,,,,,,
21,Plus500SEY Ltd,ECN,,,,,,,
21,Plus500SEY Ltd,VIP,,,,,,,
20,Plus500SG Pte Ltd,Standard,,,,,,,
20,Plus500SG Pte Ltd,ECN,,,,,,,
20,Plus500SG Pte Ltd,VIP,,,,,,,
22,Plus500UK Ltd,Standard,,,,,,,
22,Plus500UK Ltd,ECN,,,,,,,
22,Plus500UK Ltd,VIP,,,,,,,
32,RoboForex Ltd,Standard,,,,,,,
32,RoboForex Ltd,ECN,,,,,,,
32,RoboForex Ltd,VIP,,,,,,,
37,STARTRADER,Standard,,,,,,,
37,STARTRADER,ECN,,,,,,,
37,STARTRADER,VIP,,,,,,,
24,Saxo Capital Markets,Standard,,,,,,,
24,Saxo Capital Markets,ECN,,,,,,,
24,Saxo Capital Markets,VIP,,,,,,,
1,TMGM,Standard,,,,,,,
1,TMGM,ECN,,,,,,,
1,TMGM,VIP,,,,,,,
28,Tickmill Europe Ltd,Standard,,,,,,,
28,Tickmill Europe Ltd,ECN,,,,,,,
28,Tickmill Europe Ltd,VIP,,,,,,,
27,Tickmill Ltd,Standard,,,,,,,
27,Tickmill Ltd,ECN,,,,,,,
27,Tickmill Ltd,VIP,,,,,,,
29,Tickmill South Africa,Standard,,,,,,,
29,Tickmill South Africa,ECN,,,,,,,
29,Tickmill South Africa,VIP,,,,,,,
26,Tickmill UK Ltd,Standard,,,,,,,
26,Tickmill UK Ltd,ECN,,,,,,,
26,Tickmill UK Ltd,VIP,,,,,,,
30,Vantage Global Prime,Standard,,,,,,,
30,Vantage Global Prime,ECN,,,,,,,
30,Vantage Global Prime,VIP,,,,,,,
12,XM,Standard,,,,,,,
12,XM,ECN,,,,,,,
12,XM,VIP,,,,,,,
34,XM / Trading.com,Standard,,,,,,,
34,XM / Trading.com,ECN,,,,,,,
34,XM / Trading.com,VIP,,,,,,,
7,ZFX,Standard,,,,,,,
7,ZFX,ECN,,,,,,,
7,ZFX,VIP,,,,,,,
